Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Базилевич,Лілія,Федорівна,Жіноча,01.01.1985,Географ,місто Чуднів,"набережна Госпітальний, буд. 7 кв. 66, Зугрес, 53893",+380 (89) 504-53-18,pylyp21@example.org
Матяш,Єва,Володимирівна,Жіноча,03.01.1947,Бібліотекар,село Жмеринка,"проспект Садовського, буд. 12 кв. 92, Кам'янське, 87254",+380 22 848-99-68,kovpakparmen@example.com
Швайка,Златослава,Володимирівна,Жіноча,25.01.1984,Палеонтолог,селище Новий Буг,"набережна Бітумна, буд. 6 кв. 19, Луганськ, 85947",+380 82 117 41 63,boryslav44@example.net
Рева,Златослава,Дмитрівна,Жіноча,27.10.1962,Співак,хутір Алушта,"сквер Ботанічний, буд. 083, Шаргород, 91570",219 12 53,andriichuktaras@example.com
Тригуб,Данна,Іванівна,Жіноча,07.11.1942,Кінорежисер,село Ніжин,"узвіз Лунний, буд. 0, Хуст, 95607",+380 96 202-69-13,stefanlubenets@example.org
Баранець,Ліза,Федорівна,Жіноча,28.01.1944,Машиніст,хутір Корюківка,"парк Отамана Чепіги, буд. 437, Сновськ, 59641",+380 (11) 700-80-60,bashtanbohuslava@example.com
Чекалюк,Святослава,Вікторівна,Жіноча,21.01.1954,Сантехнік,місто Бар,"сквер Кордонна, буд. 3, Міусинськ, 94920",+380 05 245-76-55,anitaartiushenko@example.com
Шахрай,Дарина,Олександрівна,Жіноча,24.06.1959,Піаніст,хутір Нова Одеса,"проспект Виноградна 3-тя, буд. 075 кв. 2, Богуслав, 55457",279 65 78,ydavydenko@example.net
Воблий,Одарка,Дмитрівна,Жіноча,03.06.1965,Дерун,місто Вознесенськ,"вулиця Горбиста, буд. 8, Суходільськ, 66535",+380 (17) 035-27-27,mykhailyna97@example.net
Ґалаґан,Христина,Олександрівна,Жіноча,06.09.1977,Бізнесмен,селище Монастирище,"узвіз Пересипська 1-ша, буд. 6 кв. 06, Броди, 23680",390-42-15,xtsushko@example.net
Асаула,Людмила,Дмитрівна,Жіноча,17.03.1949,Намотувальник,хутір Шахтарськ,"площа Нова, буд. 7, Кобеляки, 14728",+380 97 194-13-91,ieromenkoiustyna@example.org
Сомко,Дарина,Михайлівна,Жіноча,13.01.2008,Парфюмер,село Шостка,"вулиця Селекційний, буд. 6 кв. 47, Перемишляни, 33025",+380 53 615-51-28,vira09@example.com
Чубай,Богуслава,Вікторівна,Жіноча,19.07.1939,Реставратор,хутір Корець,"сквер Чорноморський 12-й, буд. 9, Чорнобиль, 01128",090 641-40-53,iustym55@example.com
Свириденко,Галина,Дмитрівна,Жіноча,11.09.1978,Флорист,хутір Молодогвардійськ,"проспект Різовська, буд. 204 кв. 91, Теребовля, 85801",+380 (09) 492-95-07,klymenttykhyi@example.com
Батіг,Ольга,Олександрівна,Жіноча,11.01.2004,Громадський діяч,село Чугуїв,"узвіз Чехова, буд. 733, Запоріжжя, 74217",+380 (96) 535-76-24,shvachkapavlo@example.org
Стець,Едита,Вікторівна,Жіноча,01.06.1948,Антрополог,селище Ладижин,"узвіз Липнева, буд. 0, Батурин, 04058",+380 (05) 572-02-12,yrubets@example.org
Євдокименко,Данна,Іванівна,Жіноча,24.09.1965,Клоун,селище Покровськ,"проспект Ольгіївська, буд. 062, Дружба , 56399",+380 99 831-70-08,ieva47@example.net
Царенко,Альбіна,Іванівна,Жіноча,23.02.1939,Кінорежисер,хутір Довжанськ,"шосе Професора Коровицького, буд. 8, Соснівка , 12142",+380 13 382 04 86,derkachiaryna@example.com
Рудько,Вікторія,Іванівна,Жіноча,17.07.1949,Адвокат,місто Хорол ,"площа Луганська, буд. 08, Могилів-Подільський, 72728",+380 (81) 660-75-35,makar63@example.org
Єсипенко,Єлисавета,Вікторівна,Жіноча,24.12.1988,Провізор,хутір Золочів,"шосе Тимірязєва 5-й, буд. 889, Роздільна, 49127",+380 80 618 78 27,viktoriiashynkarenko@example.net
Оніщук,Михайлина,Вікторівна,Жіноча,25.07.1969,Електрик,селище Монастириська,"вулиця Керченський 3-й, буд. 212 кв. 11, Гола Пристань, 90357",954 58 36,haidaimariana@example.org
Таран,Ярослава,Сергіївна,Жіноча,06.06.1973,Гінеколог,хутір Петрово-Красносілля,"проспект Хімічна, буд. 2 кв. 585, Почаїв, 76096",+380 34 490-88-38,les84@example.com
Гавриленко,Лілія,Володимирівна,Жіноча,17.05.1974,Кухар,хутір Ізюм,"узвіз Авангардна, буд. 948, Надвірна, 24074",084 873 27 42,lahodaparmen@example.org
Бабич,Михайлина,Федорівна,Жіноча,09.03.1984,Мінералог,селище Барвінкове,"провулок Марсельська, буд. 80 кв. 658, Вишневе , 33259",+380 90 588-54-22,steslia@example.com
Устенко,Ада,Сергіївна,Жіноча,28.06.1988,Філолог,село Нетішин,"площа Уральський, буд. 889 кв. 38, Зугрес, 33362",960-38-33,halyna70@example.org
Титаренко,Роксолана,Петрівна,Жіноча,24.04.1963,Медик,селище Корець,"парк Італійський, буд. 404, Новоград-Волинський, 77816",+380 19 568-84-32,mykyta95@example.com
Притула,Одарка,Олександрівна,Жіноча,18.03.1945,Стропальник,село Васильків,"шосе Кощового отамана, буд. 4 кв. 4, Вижниця, 44563",+380 35 332-76-14,iaroslavanosenko@example.com
Онищенко,Златослава,Федорівна,Жіноча,28.01.1940,Музичний редактор,місто Пологи ,"провулок Бориса Дерев'янка, буд. 9, Бахчисарай, 55669",736-68-42,tkhudobiak@example.org
Яценюк,Розалія,Вікторівна,Жіноча,21.04.1995,Акушер,хутір Липовець,"провулок 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 19 кв. 6, Валки , 66553",098 814-15-35,izakusylo@example.net
Зарудний,Соломія,Андріївна,Жіноча,17.11.1979,Історик,село Перемишляни,"парк Василя Кандинського 2-й, буд. 037, Глухів, 69950",+380 11 095 13 05,valeriishyian@example.org
Калениченко,Аніта,Володимирівна,Жіноча,26.08.1943,Зоолог,селище Любомль,"проспект Демократична, буд. 8, Берислав, 59265",061 508-40-23,fareniukmaksym@example.com
Карпа,Едита,Федорівна,Жіноча,10.10.1942,Агроном,хутір Бібрка,"проспект Смоленська, буд. 32 кв. 737, Калуш, 42742",491-96-40,artem02@example.net
Яценюк,Орися,Петрівна,Жіноча,17.06.1999,Дантист,село Богодухів,"набережна Умова, буд. 4 кв. 356, Новодружеськ, 21114",+380 79 958-83-24,mvakulenko@example.com
Матвієнко,Оксенія,Михайлівна,Жіноча,04.07.1996,Клоун,село Южне,"парк Михайлівська, буд. 09, Первомайськ, 01852",000 216 32 24,parmen64@example.org
Девдюк,Богуслава,Іванівна,Жіноча,24.01.1962,Єгер,селище Пирятин,"провулок Виноградний тупик, буд. 17 кв. 11, Корюківка, 33623",044 246-67-36,bisaievych@example.com
Франко,Єва,Іванівна,Жіноча,27.12.1984,Правник,місто Сєвєродонецьк,"вулиця Валіховський, буд. 79 кв. 920, Євпаторія, 54569",067 268 76 72,hennadiihaievskyi@example.com
Адамчук,Алла,Федорівна,Жіноча,03.05.1945,Фрілансер,селище Міусинськ,"проспект Катаєва, буд. 78 кв. 277, Болград, 74861",+380 19 521-27-64,pryimakokhrim@example.net
Матяш,Софія,Володимирівна,Жіноча,10.12.1946,Юрист,місто Бурштин ,"сквер Василя Стуса, буд. 8, Красноград, 44790",039 907 51 78,tonufriienko@example.net
Верменич,Любов,Федорівна,Жіноча,27.06.1962,Петрограф,село Подільськ,"парк 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 22, Оріхів, 43935",928-28-01,vnesterenko@example.org
Матвієнко,Аліна,Михайлівна,Жіноча,07.09.1994,Секретар,хутір Борщів,"шосе Лип Івана та Юрія, буд. 737, Городенка, 94937",097 107-42-17,wlemeshko@example.com
Дробʼязко,Алла,Олександрівна,Жіноча,06.12.1992,Публіцист,хутір Бар,"шосе Колективний, буд. 4 кв. 6, Долина , 98803",+380 72 684-29-75,arkadiihuzenko@example.net
Бабко,Світлана,Петрівна,Жіноча,20.03.1963,Провізор,місто Первомайськ,"площа 1-ша Лінія Марії Демченко, буд. 87, Заводське, 28801",089 979 08 14,ktereshchuk@example.net
Назаренко,Богуслава,Володимирівна,Жіноча,16.06.1949,Футболіст,село Курахове,"площа Самодіяльна, буд. 480, Герца, 16713",961-39-86,prokhirisaienko@example.org
Ґереґа,Богданна,Сергіївна,Жіноча,07.05.1950,Менеджер,місто Вільнянськ,"узвіз Бессарабська, буд. 8 кв. 34, Каховка, 59590",+380 98 397-35-59,kdanchenko@example.com
Усик,Ярина,Сергіївна,Жіноча,21.11.1974,Бібліотекар,село Яготин,"провулок Листяна, буд. 555 кв. 46, Арциз, 84691",074 143-24-77,fomenkofeofan@example.net
Євтушок,Орися,Вікторівна,Жіноча,26.11.1980,Слідчий,місто Селидове,"парк Грецька, буд. 475, Ніжин, 90974",+380 12 994 62 55,kybkalovasylyna@example.net
Гаврилишин,Тетяна,Михайлівна,Жіноча,06.11.1969,Гінеколог,селище Дніпрорудне,"узвіз Троїцького Миколи, буд. 43, Петрово-Красносілля, 40380",+380 31 235-35-07,valentyn71@example.com
Олійник,Галина,Федорівна,Жіноча,18.06.1968,Епідеміолог,селище Ужгород,"узвіз Лізи Чайкіної, буд. 4 кв. 94, Жашків, 88616",+380 51 266-76-46,shynkarenkomarko@example.com
Семенченко,Орися,Дмитрівна,Жіноча,30.10.2004,Філолог,селище Ялта,"узвіз Деволанівський узвіз, буд. 829, Красноград, 15083",+380 08 706-73-11,amaliia30@example.net
Вівчаренко,Лілія,Дмитрівна,Жіноча,10.01.1965,Художник,місто Токмак,"площа Думська, буд. 5 кв. 94, Благовіщенське, 76966",+380 11 783 18 40,pustovitolena@example.com
Дацюк,Алла,Іванівна,Жіноча,14.02.1972,Кінорежисер,хутір Гола Пристань,"узвіз Молодіжна, буд. 55 кв. 544, Гірське, 91855",077 519 63 00,itsymbaliuk@example.com
Іванченко,Одарка,Олександрівна,Жіноча,13.02.1952,Пілот,місто Старий Самбір,"шосе Некрасова, буд. 4, Сокаль, 53881",+380 (29) 356-41-72,leonid89@example.net
Мазур,Людмила,Петрівна,Жіноча,26.03.1958,Ветеринар,місто Носівка,"вулиця Пересипська 9-та, буд. 076 кв. 6, Коломия, 10201",+380 74 366-01-62,prokhirtykhyi@example.net
Черненко,Святослава,Федорівна,Жіноча,18.03.1985,Історик,хутір Міусинськ,"сквер Юннатів 1-й, буд. 817, Баранівка, 33601",071 370 88 34,drobakhaspas@example.com
Комар,Світлана,Андріївна,Жіноча,13.08.1994,Модельєр,місто Барвінкове,"узвіз Спиридонівська, буд. 66 кв. 492, Кам'янка (Черкаська область), 06454",035 085-78-56,iosypzhalilo@example.com
Фесенко,Ганна,Сергіївна,Жіноча,20.03.1944,Мистецтвознавець,місто Часів Яр,"шосе Лиманчик 2-й Лінія 9-та, буд. 63, Ворожба, 07737",+380 17 039-36-65,larysa41@example.com
Оробець,Емілія,Михайлівна,Жіноча,29.06.1949,Мікробіолог,місто Кальміуське,"вулиця Матроський узвіз, буд. 94 кв. 9, Чернігів, 16176",955-79-22,amvrosii66@example.org
Фесенко,Михайлина,Сергіївна,Жіноча,22.04.2006,Електромонтер,місто Тиврів,"парк Сирітський, буд. 0 кв. 8, Старокостянтинів, 39073",+380 42 008-34-30,bohdannaoberemko@example.net
Засядько,Вікторія,Дмитрівна,Жіноча,06.12.1992,Музикант,село Гнівань,"узвіз Саксаганського, буд. 0 кв. 67, Славута, 31487",+380 90 321-21-74,mariiababenko@example.org
Корж,Валентина,Іванівна,Жіноча,08.12.2001,Фольклорист,село Герца,"набережна Рівності 1-й, буд. 4 кв. 4, Ананьїв, 20059",+380 95 729-43-61,klymentisaienko@example.org
Шинкаренко,Світлана,Іванівна,Жіноча,23.05.1948,Живописець,хутір Славутич,"узвіз Кільовий, буд. 5 кв. 65, Мар'їнка, 23968",+380 53 198-45-09,khuzenko@example.com
Коваленко,Тереза,Андріївна,Жіноча,06.10.1987,Шериф,місто Монастирище,"парк Наливна, буд. 93 кв. 9, Петрово-Красносілля, 28890",132 36 47,alla02@example.com
Джус,Клавдія,Петрівна,Жіноча,15.11.1974,Петрограф,село Ржищів,"набережна Чайковського, буд. 31, Судак , 51757",+380 05 907-62-73,ztiahnybok@example.com
Тригуб,Варвара,Вікторівна,Жіноча,20.08.1996,Астроном,місто Заставна,"шосе Пересипський узвіз, буд. 657 кв. 53, Зборів, 74246",+380 (65) 366-57-53,khrystyna36@example.org
Дубина,Юстина,Федорівна,Жіноча,04.12.1974,Мовознавець,хутір Родинське,"парк Лінія 33-тя, буд. 6, Радехів, 13271",+380 40 422 82 80,mykhailyna44@example.net
Піддубний,Марта,Олександрівна,Жіноча,28.06.1975,Архітектор,хутір Херсон,"узвіз Чубаївська, буд. 98, Бобринець, 48969",769 47 20,holoborodkostepan@example.com
Шелест,Камілла,Сергіївна,Жіноча,13.10.1959,Письменник,село Буринь,"проспект Восьмого березня 4-й, буд. 3 кв. 55, Середина-Буда, 67560",+380 68 561-84-40,tkachenkotaras@example.org
Слюсар,Богданна,Федорівна,Жіноча,19.05.2001,Музичний редактор,селище Ічня,"сквер Маковий, буд. 16 кв. 171, Червоносів, 85016",016 133-06-33,bohuslavalemeshko@example.net
Ісаєнко,Ірена,Федорівна,Жіноча,16.01.1961,Парфюмер,місто Городня,"проспект Першотравневий 2-й, буд. 39, Каховка, 41607",010 58 67,andrii18@example.com
Зарудний,Еріка,Петрівна,Жіноча,03.02.1957,Педагог,село Городня,"сквер Слобідський узвіз, буд. 9, Таврійськ, 39908",+380 32 653-40-15,illia14@example.net
Іваненко,Ірина,Сергіївна,Жіноча,31.10.1976,Фізик,місто Молодогвардійськ,"набережна Суднобудівний, буд. 082, Узин, 98983",+380 (95) 804-57-74,iashchenkooleksa@example.com
Пелех,Аліна,Володимирівна,Жіноча,25.10.1938,Реставратор,хутір Новодружеськ,"парк Західний 2-й, буд. 25 кв. 88, Нікополь, 10867",381-11-28,andrii54@example.org
Лемешко,Сніжана,Володимирівна,Жіноча,06.05.2005,Промисловець,місто Хирів,"набережна 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 88 кв. 667, Білгород-Дністровський, 56308",+380 (21) 884-54-89,ielysavetakozachenko@example.com
Короленко,Маруся,Дмитрівна,Жіноча,12.01.1964,Головний меркшейдер,селище Кривий Ріг,"шосе Лінія 52-га, буд. 171 кв. 8, Зеленодольськ, 12452",+380 81 574-54-30,xiushchenko@example.net
Швачко,Данна,Сергіївна,Жіноча,12.02.1989,Програміст,село Хуст,"парк Панченка, буд. 701, Березне, 78649",025 844-51-15,yvernyhora@example.org
Дейнека,Олена,Петрівна,Жіноча,24.04.1984,Кухар,місто Бровари,"проспект Шахтинський, буд. 58, Калуш, 65717",727 24 03,priska78@example.com
Журба,Михайлина,Дмитрівна,Жіноча,21.04.1993,Фармацевт,хутір Керч,"провулок Восьмого березня, буд. 147, Бучач, 21717",+380 85 025-70-56,vnestaiko@example.net
Чумак,Галина,Петрівна,Жіноча,25.05.1995,Кінолог,місто Бориспіль,"вулиця Наливна, буд. 645, Свалява, 42325",+380 (29) 593-93-59,borystsiupa@example.org
Жадан,Ада,Іванівна,Жіноча,23.01.1951,Швачка,місто Зіньків,"узвіз Деревообробний 2-й, буд. 2, Ніжин, 01953",040 678 14 73,iukhymbabko@example.com
Власюк,Аліна,Петрівна,Жіноча,16.08.1998,Футболіст,село Кам'янка (Черкаська область),"вулиця Ювілейний 2-й, буд. 352 кв. 32, Новий Розділ, 47692",+380 73 765 63 09,ohupalo@example.org
Андріїшин,Едита,Петрівна,Жіноча,06.06.1993,Клоун,хутір Скадовськ,"набережна Урожайна, буд. 062 кв. 47, Зіньків, 04465",+380 78 750-47-98,tkachdan@example.org
Гайдабура,Лілія,Вікторівна,Жіноча,01.06.1979,Хімік,село Ужгород,"вулиця Балтський 1-й, буд. 450 кв. 202, Горішні Плавні, 05881",088 842 35 26,aleksandrenkodemian@example.net
Базилевич,Ганна,Сергіївна,Жіноча,07.07.1966,Випробувач,село Білицьке,"узвіз Перемоги, буд. 31, Борщів, 34852",+380 11 096-41-82,martashylo@example.net
Данченко,Едита,Петрівна,Жіноча,02.09.2000,Кінорежисер,місто Сімферополь,"вулиця Маріїнська, буд. 4, Кам'янець-Подільський, 38534",911 59 35,kanivetsnazar@example.net
Дубина,Ганна,Вікторівна,Жіноча,29.11.1984,Краєзнавець,хутір Шаргород,"шосе Семінарська, буд. 1, Одеса, 32774",+380 52 917-35-65,konoplenkoiaroslav@example.net
Іваненко,Роксолана,Сергіївна,Жіноча,26.02.1957,Футболіст,село Ірпінь,"набережна Привокзальна, буд. 1 кв. 1, Сімферополь, 18053",368-48-36,btelychenko@example.net
Андрійчук,Надія,Сергіївна,Жіноча,11.03.1981,Електромонтер,місто Добромиль,"парк 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 77 кв. 54, Тячів, 67965",067 076-87-19,myronzarudnyi@example.net
Лукаш,Емілія,Олександрівна,Жіноча,18.11.1968,Гицель,село Дубляни,"парк Лінія 42-га, буд. 560 кв. 9, Кам'янка (Черкаська область), 40501",+380 (73) 783-45-28,iaroshkyrylo@example.net
Байрак,Дарина,Михайлівна,Жіноча,05.03.1982,Громадський діяч,село Тлумач,"сквер Обільний 1-й, буд. 710, Христинівка, 01410",083 931 24 45,rfurs@example.org
Дашенко,Віра,Володимирівна,Жіноча,14.02.2002,Живописець,село Вараш,"площа Прохоровський, буд. 002 кв. 0, Валки , 99645",+380 (13) 957-27-71,frants30@example.org
Малик,Оксенія,Вікторівна,Жіноча,11.05.1996,Фармацевт,село Тараща,"набережна Нерубайська, буд. 35 кв. 2, Краматорськ, 68319",+380 07 985-33-96,lukian64@example.org
Ващук,Вікторія,Володимирівна,Жіноча,01.10.1965,Гінеколог,місто Сніжне,"провулок Дев’ята, буд. 50, Докучаєвськ, 80090",851 70 12,riaboshapkalarysa@example.org
Тихий,Розалія,Олександрівна,Жіноча,13.11.2006,Менеджер,хутір Гадяч,"шосе Курортний, буд. 0 кв. 64, Андрушівка, 59461",056 675 70 49,parmenruban@example.net
Литвин,Орина,Іванівна,Жіноча,19.09.1994,Державний службовець,місто Сколе,"набережна Золотий берег, буд. 2, Ромни, 61391",+380 65 483 42 27,riaboshapkaliza@example.net
Скирда,Ганна,Дмитрівна,Жіноча,24.08.1982,Менеджер,селище Ладижин,"сквер Лінія 40-ва, буд. 75 кв. 77, Кам'янка-Бузька, 96250",+380 01 843-98-73,tovstolisalbina@example.com
Михайлюк,Марина,Іванівна,Жіноча,31.07.1958,Локсмайстер,хутір Кипуче,"площа Астрономічна, буд. 34 кв. 95, Вишневе , 06046",+380 64 953 90 85,iaroslava08@example.net
Ющенко,Василина,Вікторівна,Жіноча,10.01.1969,Няня,село Трускавець,"провулок Таїрова, буд. 2 кв. 025, Волочиськ, 42648",008 899-13-80,hodunokviktoriia@example.com
Захаренко,Роксолана,Петрівна,Жіноча,17.08.1955,Гірничий інженер,село Куп'янськ,"провулок Польський узвіз, буд. 72, Фастів, 74717",+380 55 740 95 10,anastasiiatryhub@example.org
Дубина,Ганна,Петрівна,Жіноча,01.03.1960,Електромонтер,хутір Іловайськ,"сквер Іванівський переїзд, буд. 470, Березань , 81090",000 724 36 88,symon57@example.org
Іваненко,Марта,Дмитрівна,Жіноча,15.03.1941,Фермер,хутір Брянка,"вулиця Скляна, буд. 763, Авдіївка, 58837",423-70-64,haidaburavolodymyr@example.net
Вдовиченко,Оксенія,Михайлівна,Жіноча,06.06.1995,Нотаріус,село Южне,"сквер Жаботинського, буд. 647, Обухів, 32731",+380 55 208-03-84,aartymovych@example.net
Щербак,Амалія,Михайлівна,Жіноча,04.02.1948,Громадський діяч,село Географія Вільнянська,"провулок Пісочна, буд. 63 кв. 18, Куп'янськ, 50635",122-67-51,ivan16@example.com
Сімашкевич,Марина,Федорівна,Жіноча,19.08.1947,Краєзнавець,селище Волноваха,"набережна Терещенка Володимира, буд. 0 кв. 09, Кальміуське, 21467",040 629-93-43,frantszabashta@example.net
Захарченко,Оксана,Петрівна,Жіноча,22.04.1974,Прокурор,село Бурштин ,"площа Наявний 1-й, буд. 34 кв. 457, Бахмут, 69800",+380 35 455-36-35,ruslan43@example.com
Ґереґа,Амалія,Петрівна,Жіноча,15.11.1966,Електромонтажник,селище Вознесенівка,"шосе Ашгабатська, буд. 64 кв. 4, Судак , 01980",096 342-61-86,haidaburaihor@example.org
Товстоліс,Юстина,Олександрівна,Жіноча,10.11.1941,Біолог,село Зоринськ,"площа Макарова, буд. 37, Судак , 86017",+380 (77) 030-42-52,hryhorii90@example.org
Салій,Амалія,Михайлівна,Жіноча,16.12.1966,Адвокат,хутір Жидачів,"провулок Косвена, буд. 2, Алупка, 27378",+380 71 981-32-78,tarasvasylechko@example.org
Оробець,Надія,Андріївна,Жіноча,07.08.1950,Гірник,селище Джанкой,"проспект Волзький, буд. 6, Золочів, 19874",+380 35 813 77 58,jaronets@example.com
Рудик,Лілія,Михайлівна,Жіноча,15.09.2002,Менеджер,місто Теребовля,"узвіз Троїцька, буд. 13 кв. 20, Старий Крим, 39391",+380 09 354-75-54,urak@example.com
Безбородьки,Анастасія,Андріївна,Жіноча,10.08.1990,Геофізик,місто Свалява,"шосе Івахненка Петра, буд. 316 кв. 122, Вознесенівка, 56447",282-71-72,hsirko@example.org
Перепелиця,Юстина,Андріївна,Жіноча,25.05.1988,Швачка,селище Костянтинівка,"вулиця Ракетна, буд. 529 кв. 6, Заводське, 46537",059 310 15 75,virashvedchenko@example.com
Медведенко,Віолетта,Сергіївна,Жіноча,29.11.1964,Мікробіолог,місто Луганськ,"узвіз Вапняний 3-й, буд. 46, Перечин, 68935",025 511 31 97,batihbohodar@example.net
Гайдай,Розалія,Михайлівна,Жіноча,05.12.1939,Штукатур,село Новий Буг,"парк Академіка Ясиновського, буд. 363, Шумськ, 31539",687 07 59,albinarudko@example.org
Іванченко,Орися,Іванівна,Жіноча,29.06.1963,Будник,хутір Запоріжжя,"парк Залізнична, буд. 0 кв. 293, Гірське, 45140",724 37 47,artiukhmykhailo@example.com
Дуплій,Тетяна,Андріївна,Жіноча,20.10.1940,Медик,селище Винники,"шосе Флотська, буд. 579, Умань, 29867",+380 14 534 13 65,mariia41@example.org
Шахрай,Ганна,Михайлівна,Жіноча,03.09.1973,Інженер,селище Березівка,"парк Остапа Вишні, буд. 7 кв. 5, Зоринськ, 29398",+380 (99) 645-83-88,labrahamovskyi@example.net
Величко,Еріка,Олександрівна,Жіноча,17.06.1995,Бібліотекар,селище Березань ,"парк Трояндова, буд. 036, Кобеляки, 83400",779 91 90,stuszakhar@example.net
Забіла,Христина,Іванівна,Жіноча,01.03.1950,Вчитель,селище Яворів,"парк Академіка Філатова, буд. 4, Ковель, 50025",+380 37 848-50-57,liudmylaneporozhnii@example.org
Зінченко,Аліна,Андріївна,Жіноча,25.03.2007,Електромонтер,селище Каховка,"сквер Алмазна, буд. 0 кв. 76, Дубляни, 34554",+380 76 471-32-52,illiaiaremko@example.org
Калениченко,Анжела,Петрівна,Жіноча,29.11.1997,Режисер,хутір Стрий,"парк Лиманчик 2-й Лінія 9-та, буд. 1, Докучаєвськ, 73463",856 07 12,trokhymshakhrai@example.com
Лемешко,Орися,Федорівна,Жіноча,07.02.1959,Кушнір,селище Первомайськ,"вулиця Матроський узвіз, буд. 132, Старокостянтинів, 71440",732-82-68,boryslav51@example.org
